02,21.97,23.79,44.09,42.48,16.79,19.40,14.87,68.60,41.81,AS7265x Spectral Triad Example
A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
20.59,36.61,35.62,24.28,27.77,26.77,28.12,48.76,43.83,19.00,20.69,15.87,73.10,36.95,74.85,61.76,52.80,32.69,26.67
20.59,36.61,35.62,24.28,27.77,27.46,28.66,49.28,44.28,19.44,21.34,15.87,73.10,46.67,74.85,61.76,53.63,32.69,26.67
20.59,36.61,36.51,24.28,28.52,28.15,29.20,49.80,44.74,19.88,21.34,15.87,73.10,49.58,74.85,62.60,54.47,33.85,27.00
20.59,35.70,36.51,24.28,28.52,26.09,27.58,48.24,44.74,18.11,21.34,15.87,71.98,48.61,73.96,60.91,54.47,31.52,26.67
20.59,35.70,36.51,24.28,28.52,26.77,28.12,48.76,44.28,19.00,21.34,15.87,71.98,47.64,74.85,61.76,53.63,32.69,26.67
20.59,36.61,36.51,24.28,28.52,27.46,28.12,49.28,44.74,19.44,21.34,15.87,73.10,48.61,74.85,61.76,53.63,32.69,26.67
20.59,35.70,36.51,24.28,27.77,26.77,27.58,48.24,44.28,18.56,21.34,15.87,71.98,46.67,74.85,60.91,52.80,32.69,26.67
20.59,35.70,36.51,24.28,27.77,26.77,27.58,48.76,44.28,18.56,21.34,15.87,71.98,46.67,73.96,60.91,53.63,32.69,26.67
20.59,36.61,37.40,24.28,28.52,27.46,28.12,49.28,44.74,19.44,21.34,15.87,73.10,48.61,74.85,61.76,53.63,32.69,26.67
14.71,20.14,19.59,15.29,15.76,8.92,12.98,25.94,35.25,8.39,14.87,10.91,52.86,22.36,56.14,38.07,40.23,22.18,26.67
18.63,27.46,18.70,20.69,16.51,16.48,18.39,39.94,36.60,11.49,12.29,12.89,62.98,17.50,65.05,42.30,31.84,17.51,26.67
21.57,40.28,35.62,25.18,27.02,36.38,31.91,54.47,43.38,26.95,20.05,16.86,73.10,44.72,80.20,69.37,46.09,39.69,26.67
20.59,36.61,38.29,23.38,30.02,29.52,28.12,48.24,44.28,22.97,22.63,15.87,69.73,55.42,73.96,64.29,55.31,37.36,26.67
21.57,43.02,47.20,27.88,38.28,42.56,39.48,61.21,48.35,28.72,23.93,16.86,79.85,73.89,81.09,72.75,60.34,42.03,27.33
22.55,43.02,47.20,28.78,35.27,40.50,29.74,53.43,46.54,23.86,21.34,15.87,67.48,49.58,68.61,55.83,45.25,28.02,26.67
22.55,43.02,47.20,28.78,37.53,41.19,38.94,61.21,49.71,26.51,22.63,16.86,83.22,71.95,84.65,71.91,57.82,42.03,26.67
22.55,43.02,47.20,28.78,38.28,41.19,39.48,61.21,49.71,26.51,22.63,16.86,83.22,72.92,84.65,71.06,57.82,40.86,26.67
22.55,43.02,47.20,28.78,37.53,41.19,38.94,61.21,49.71,26.07,22.63,16.86,83.22,71.95,84.65,71.06,56.99,40.86,27.00
22.55,43.02,46.31,28.78,37.53,40.50,38.94,61.21,49.71,26.51,22.63,16.86,83.22,71.95,83.76,71.06,57.82,40.86,26.67
22.55,43.02,46.31,28.78,37.53,40.50,38.94,61.21,49.71,26.51,22.63,16.86,83.22,71.95,83.76,71.06,56.99,40.86,26.67
22.55,42.11,44.53,27.88,36.02,35.70,35.69,59.13,49.26,23.86,22.63,16.86,82.10,68.06,83.76,70.22,57.82,39.69,26.67
20.59,33.87,27.61,23.38,19.51,21.97,25.42,45.65,39.31,14.58,16.17,14.87,71.98,27.22,73.96,54.99,39.39,26.85,27.00
22.55,43.94,47.20,29.68,38.28,41.88,39.48,61.21,49.71,25.18,21.99,16.86,83.22,70.97,83.76,71.06,56.99,37.36,26.67
22.55,43.02,47.20,28.78,37.53,41.19,39.48,61.21,49.71,25.18,21.99,16.86,83.22,70.97,83.76,71.06,56.15,37.36,26.67
22.55,43.02,47.20,28.78,38.28,41.19,39.48,61.21,49.71,25.18,21.99,16.86,83.22,70.97,83.76,71.06,56.15,37.36,26.67
22.55,43.02,47.20,28.78,38.28,41.19,39.48,61.21,49.71,25.18,21.99,16.86,83.22,70.97,83.76,71.06,56.15,37.36,26.67
22.55,43.02,47.20,28.78,37.53,41.88,39.48,61.21,49.71,25.18,21.99,16.86,83.22,70.97,83.76,71.06,56.15,37.36,26.67
22.55,43.02,47.20,28.78,37.53,41.19,39.48,61.21,49.26,25.18,21.99,16.86,82.10,70.97,83.76,70.22,56.15,37.36,26.67
22.55,43.02,47.20,28.78,37.53,41.19,38.94,60.69,49.26,25.18,21.99,16.86,82.10,70.97,82.87,70.22,55.31,36.19,26.67
22.55,43.02,46.31,28.78,36.78,41.19,37.86,60.17,48.80,24.74,21.34,16.86,80.97,70.00,81.98,69.37,54.47,36.19,26.67
22.55,43.02,47.20,28.78,37.53,41.19,38.94,60.69,48.80,24.74,21.99,16.86,82.10,70.00,82.87,70.22,55.31,36.19,26.67
