AS7265x Spectral Triad Example
A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
4.90,11.90,14.25,9.89,10.51,17.85,13.52,11.93,2.26,3.53,6.47,1.98,19.12,0.97,10.69,25.38,39.39,10.51,28.33
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.33
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.33
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.33
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.33
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.33
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,29.00
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.33
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,9.76,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,11.90,13.36,9.89,9.76,17.16,12.98,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.33
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,29.00
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.33
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,29.00
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,7.11,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,11.90,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,18.54,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.53,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,29.00
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.41,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.53,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.53,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,18.54,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,13.36,9.89,10.51,17.85,13.52,11.93,4.07,3.98,6.47,1.98,19.12,5.83,10.69,25.38,38.55,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
4.90,12.81,14.25,9.89,10.51,17.85,13.52,11.93,4.07,3.98,7.11,1.98,19.12,5.83,10.69,25.38,39.39,10.51,28.67
